Frame | Total(us) | Input(us) | Update(us) | Collision(us) | Render(us) | Build(us) | Flush(us) | Entities
------+-----------+-----------+------------+---------------+------------+-----------+-----------+---------
   60 |    2856.1 |      78.7 |        9.6 |           8.0 |     2557.7 |     201.3 |    2557.6 | 82
  120 |    2530.7 |     748.7 |        6.5 |           5.1 |     1605.2 |     164.3 |    1605.2 | 83
  180 |    2075.0 |      15.6 |        6.8 |           4.4 |     1902.3 |     145.2 |    1902.1 | 82
  240 |    2268.0 |      94.1 |       10.1 |           7.5 |     1998.1 |     157.7 |    1997.8 | 83
  300 |    1549.3 |      11.1 |        5.2 |           5.2 |     1408.8 |     118.4 |    1408.6 | 82
  360 |    1492.4 |       7.6 |        6.8 |           4.5 |     1374.4 |      98.3 |    1374.3 | 84
  420 |    2180.2 |      29.5 |       14.7 |           6.3 |     1992.1 |     136.8 |    1992.0 | 84
  480 |    2569.7 |      29.5 |        9.5 |           6.2 |     2353.0 |     170.7 |    2352.7 | 83
  540 |    2595.4 |      25.8 |       14.9 |           5.6 |     2400.2 |     148.1 |    2400.1 | 82
  600 |    2595.6 |     101.7 |        6.1 |           6.8 |     2303.3 |     176.9 |    2303.1 | 82
  660 |    4461.7 |      13.0 |        8.5 |           7.1 |     4066.2 |     366.3 |    4065.8 | 84
  720 |    3120.9 |      13.1 |        8.3 |           7.0 |     2803.2 |     288.1 |    2803.1 | 84
  780 |    2730.5 |     232.3 |        6.7 |           6.8 |     2285.8 |     198.1 |    2285.4 | 83
  840 |    3303.7 |      21.4 |        5.2 |           5.4 |     3131.3 |     139.7 |    3131.2 | 82
  900 |    2041.0 |       8.1 |        6.3 |           5.0 |     1840.1 |     180.9 |    1839.7 | 83
  960 |    4413.7 |      11.1 |        9.0 |           8.4 |     4053.7 |     330.7 |    4053.4 | 83
 1020 |    3416.8 |      10.3 |        9.2 |           6.0 |     3162.3 |     228.4 |    3162.1 | 83
 1080 |    3369.7 |      11.9 |        6.2 |           6.8 |     3084.2 |     259.7 |    3083.9 | 82
 1140 |    2094.8 |      27.5 |       14.4 |           9.9 |     1794.0 |     248.0 |    1793.6 | 85
 1200 |    3559.0 |      49.5 |        7.9 |           5.9 |     3262.6 |     232.6 |    3262.4 | 83
 1260 |    5453.8 |     505.2 |        9.3 |           7.8 |     4489.6 |     441.2 |    4489.3 | 85
